client_id,cutoff_date,target_next_recurring_merchant
U000000,2025-10-01,music
U000001,2025-10-01,insurance
U000002,2025-10-01,none
U000003,2025-10-01,gym
U000004,2025-10-01,software
U000005,2025-10-01,none
U000006,2025-10-01,music
U000007,2025-10-01,streaming
U000008,2025-10-01,cloud
U000009,2025-10-01,cloud
U000010,2025-10-01,music
U000011,2025-10-01,insurance
U000012,2025-10-01,music
U000013,2025-10-01,cloud
U000014,2025-10-01,software
U000015,2025-10-01,cloud
U000016,2025-10-01,gym
U000017,2025-10-01,none
U000018,2025-10-01,insurance
U000019,2025-10-01,music
U000020,2025-10-01,none
U000021,2025-10-01,none
U000022,2025-10-01,music
U000023,2025-10-01,streaming
U000024,2025-10-01,music
U000025,2025-10-01,cloud
U000026,2025-10-01,insurance
U000027,2025-10-01,none
U000028,2025-10-01,streaming
U000029,2025-10-01,none
U000030,2025-10-01,none
U000031,2025-10-01,mobile
U000032,2025-10-01,insurance
U000033,2025-10-01,insurance
U000034,2025-10-01,software
U000035,2025-10-01,software
U000036,2025-10-01,cloud
U000037,2025-10-01,music
U000038,2025-10-01,software
U000039,2025-10-01,streaming
U000040,2025-10-01,music
U000041,2025-10-01,none
U000042,2025-10-01,mobile
U000043,2025-10-01,mobile
U000044,2025-10-01,gym
U000045,2025-10-01,none
U000046,2025-10-01,gym
U000047,2025-10-01,none
U000048,2025-10-01,none
U000049,2025-10-01,none
U000050,2025-10-01,insurance
U000051,2025-10-01,mobile
U000052,2025-10-01,software
U000053,2025-10-01,insurance
U000054,2025-10-01,none
U000055,2025-10-01,none
U000056,2025-10-01,software
U000057,2025-10-01,streaming
U000058,2025-10-01,none
U000059,2025-10-01,none
U000060,2025-10-01,cloud
U000061,2025-10-01,streaming
U000062,2025-10-01,none
U000063,2025-10-01,streaming
U000064,2025-10-01,none
U000065,2025-10-01,none
U000066,2025-10-01,gym
U000067,2025-10-01,cloud
U000068,2025-10-01,none
U000069,2025-10-01,software
U000070,2025-10-01,none
U000071,2025-10-01,none
U000072,2025-10-01,none
U000073,2025-10-01,cloud
U000074,2025-10-01,streaming
U000075,2025-10-01,software
U000076,2025-10-01,mobile
U000077,2025-10-01,software
U000078,2025-10-01,none
U000079,2025-10-01,insurance
U000080,2025-10-01,insurance
U000081,2025-10-01,insurance
U000082,2025-10-01,none
U000083,2025-10-01,none
U000084,2025-10-01,none
U000085,2025-10-01,none
U000086,2025-10-01,insurance
U000087,2025-10-01,cloud
U000088,2025-10-01,mobile
U000089,2025-10-01,music
U000090,2025-10-01,music
U000091,2025-10-01,mobile
U000092,2025-10-01,streaming
U000093,2025-10-01,gym
U000094,2025-10-01,music
U000095,2025-10-01,none
U000096,2025-10-01,none
U000097,2025-10-01,mobile
U000098,2025-10-01,cloud
U000099,2025-10-01,cloud
U000100,2025-10-01,gym
U000101,2025-10-01,none
U000102,2025-10-01,none
U000103,2025-10-01,gym
U000104,2025-10-01,streaming
U000105,2025-10-01,music
U000106,2025-10-01,none
U000107,2025-10-01,none
U000108,2025-10-01,none
U000109,2025-10-01,none
U000110,2025-10-01,none
U000111,2025-10-01,none
U000112,2025-10-01,gym
U000113,2025-10-01,mobile
U000114,2025-10-01,cloud
U000115,2025-10-01,gym
U000116,2025-10-01,none
U000117,2025-10-01,none
U000118,2025-10-01,mobile
U000119,2025-10-01,none
U000120,2025-10-01,mobile
U000121,2025-10-01,software
U000122,2025-10-01,gym
U000123,2025-10-01,none
U000124,2025-10-01,gym
U000125,2025-10-01,gym
U000126,2025-10-01,streaming
U000127,2025-10-01,none
U000128,2025-10-01,mobile
U000129,2025-10-01,music
U000130,2025-10-01,gym
U000131,2025-10-01,none
U000132,2025-10-01,insurance
U000133,2025-10-01,none
U000134,2025-10-01,none
U000135,2025-10-01,gym
U000136,2025-10-01,music
U000137,2025-10-01,gym
U000138,2025-10-01,none
U000139,2025-10-01,streaming
U000140,2025-10-01,none
U000141,2025-10-01,software
U000142,2025-10-01,none
U000143,2025-10-01,none
U000144,2025-10-01,software
U000145,2025-10-01,none
U000146,2025-10-01,cloud
U000147,2025-10-01,streaming
U000148,2025-10-01,software
U000149,2025-10-01,music
U000150,2025-10-01,music
U000151,2025-10-01,insurance
U000152,2025-10-01,none
U000153,2025-10-01,none
U000154,2025-10-01,music
U000155,2025-10-01,none
U000156,2025-10-01,insurance
U000157,2025-10-01,software
U000158,2025-10-01,none
U000159,2025-10-01,software
U000160,2025-10-01,insurance
U000161,2025-10-01,gym
U000162,2025-10-01,none
U000163,2025-10-01,none
U000164,2025-10-01,software
U000165,2025-10-01,cloud
U000166,2025-10-01,none
U000167,2025-10-01,gym
U000168,2025-10-01,mobile
U000169,2025-10-01,none
U000170,2025-10-01,none
U000171,2025-10-01,none
U000172,2025-10-01,software
U000173,2025-10-01,none
U000174,2025-10-01,none
U000175,2025-10-01,music
U000176,2025-10-01,streaming
U000177,2025-10-01,none
U000178,2025-10-01,software
U000179,2025-10-01,insurance
U000180,2025-10-01,cloud
U000181,2025-10-01,gym
U000182,2025-10-01,none
U000183,2025-10-01,software
U000184,2025-10-01,streaming
U000185,2025-10-01,none
U000186,2025-10-01,music
U000187,2025-10-01,none
U000188,2025-10-01,cloud
U000189,2025-10-01,none
U000190,2025-10-01,none
U000191,2025-10-01,cloud
U000192,2025-10-01,none
U000193,2025-10-01,mobile
U000194,2025-10-01,none
U000195,2025-10-01,music
U000196,2025-10-01,insurance
U000197,2025-10-01,none
U000198,2025-10-01,none
U000199,2025-10-01,software
U000200,2025-10-01,music
U000201,2025-10-01,mobile
U000202,2025-10-01,music
U000203,2025-10-01,streaming
U000204,2025-10-01,software
U000205,2025-10-01,music
U000206,2025-10-01,none
U000207,2025-10-01,insurance
U000208,2025-10-01,none
U000209,2025-10-01,gym
U000210,2025-10-01,mobile
U000211,2025-10-01,insurance
U000212,2025-10-01,none
U000213,2025-10-01,software
U000214,2025-10-01,none
U000215,2025-10-01,none
U000216,2025-10-01,none
U000217,2025-10-01,mobile
U000218,2025-10-01,music
U000219,2025-10-01,cloud
U000220,2025-10-01,insurance
U000221,2025-10-01,music
U000222,2025-10-01,insurance
U000223,2025-10-01,none
U000224,2025-10-01,software
U000225,2025-10-01,software
U000226,2025-10-01,none
U000227,2025-10-01,insurance
U000228,2025-10-01,music
U000229,2025-10-01,none
U000230,2025-10-01,software
U000231,2025-10-01,cloud
U000232,2025-10-01,none
U000233,2025-10-01,none
U000234,2025-10-01,insurance
U000235,2025-10-01,cloud
U000236,2025-10-01,cloud
U000237,2025-10-01,music
U000238,2025-10-01,gym
U000239,2025-10-01,none
U000240,2025-10-01,insurance
U000241,2025-10-01,none
U000242,2025-10-01,mobile
U000243,2025-10-01,music
U000244,2025-10-01,none
U000245,2025-10-01,cloud
U000246,2025-10-01,insurance
U000247,2025-10-01,none
U000248,2025-10-01,none
U000249,2025-10-01,music
U000250,2025-10-01,streaming
U000251,2025-10-01,gym
U000252,2025-10-01,gym
U000253,2025-10-01,streaming
U000254,2025-10-01,none
U000255,2025-10-01,mobile
U000256,2025-10-01,none
U000257,2025-10-01,none
U000258,2025-10-01,gym
U000259,2025-10-01,none
U000260,2025-10-01,none
U000261,2025-10-01,none
U000262,2025-10-01,streaming
U000263,2025-10-01,streaming
U000264,2025-10-01,streaming
U000265,2025-10-01,music
U000266,2025-10-01,streaming
U000267,2025-10-01,streaming
U000268,2025-10-01,software
U000269,2025-10-01,none
U000270,2025-10-01,streaming
U000271,2025-10-01,gym
U000272,2025-10-01,none
U000273,2025-10-01,none
U000274,2025-10-01,software
U000275,2025-10-01,insurance
U000276,2025-10-01,none
U000277,2025-10-01,music
U000278,2025-10-01,mobile
U000279,2025-10-01,software
U000280,2025-10-01,gym
U000281,2025-10-01,cloud
U000282,2025-10-01,music
U000283,2025-10-01,music
U000284,2025-10-01,none
U000285,2025-10-01,mobile
U000286,2025-10-01,cloud
U000287,2025-10-01,mobile
U000288,2025-10-01,none
U000289,2025-10-01,streaming
U000290,2025-10-01,mobile
U000291,2025-10-01,streaming
U000292,2025-10-01,none
U000293,2025-10-01,mobile
U000294,2025-10-01,insurance
U000295,2025-10-01,cloud
U000296,2025-10-01,streaming
U000297,2025-10-01,music
U000298,2025-10-01,none
U000299,2025-10-01,software
U000300,2025-10-01,insurance
U000301,2025-10-01,insurance
U000302,2025-10-01,music
U000303,2025-10-01,streaming
U000304,2025-10-01,insurance
U000305,2025-10-01,none
U000306,2025-10-01,none
U000307,2025-10-01,mobile
U000308,2025-10-01,music
U000309,2025-10-01,gym
U000310,2025-10-01,mobile
U000311,2025-10-01,none
U000312,2025-10-01,mobile
U000313,2025-10-01,insurance
U000314,2025-10-01,none
U000315,2025-10-01,cloud
U000316,2025-10-01,software
U000317,2025-10-01,music
U000318,2025-10-01,insurance
U000319,2025-10-01,software
U000320,2025-10-01,gym
U000321,2025-10-01,insurance
U000322,2025-10-01,software
U000323,2025-10-01,insurance
U000324,2025-10-01,mobile
U000325,2025-10-01,mobile
U000326,2025-10-01,cloud
U000327,2025-10-01,cloud
U000328,2025-10-01,cloud
U000329,2025-10-01,none
U000330,2025-10-01,none
U000331,2025-10-01,none
U000332,2025-10-01,music
U000333,2025-10-01,none
U000334,2025-10-01,mobile
U000335,2025-10-01,cloud
U000336,2025-10-01,streaming
U000337,2025-10-01,streaming
U000338,2025-10-01,gym
U000339,2025-10-01,insurance
U000340,2025-10-01,none
U000341,2025-10-01,streaming
U000342,2025-10-01,none
U000343,2025-10-01,gym
U000344,2025-10-01,none
U000345,2025-10-01,cloud
U000346,2025-10-01,cloud
U000347,2025-10-01,insurance
U000348,2025-10-01,software
U000349,2025-10-01,streaming
U000350,2025-10-01,none
U000351,2025-10-01,none
U000352,2025-10-01,none
U000353,2025-10-01,mobile
U000354,2025-10-01,mobile
U000355,2025-10-01,none
U000356,2025-10-01,music
U000357,2025-10-01,streaming
U000358,2025-10-01,mobile
U000359,2025-10-01,cloud
U000360,2025-10-01,none
U000361,2025-10-01,streaming
U000362,2025-10-01,none
U000363,2025-10-01,none
U000364,2025-10-01,music
U000365,2025-10-01,none
U000366,2025-10-01,music
U000367,2025-10-01,none
U000368,2025-10-01,software
U000369,2025-10-01,music
U000370,2025-10-01,mobile
U000371,2025-10-01,software
U000372,2025-10-01,insurance
U000373,2025-10-01,insurance
U000374,2025-10-01,software
U000375,2025-10-01,none
U000376,2025-10-01,none
U000377,2025-10-01,insurance
U000378,2025-10-01,cloud
U000379,2025-10-01,mobile
U000380,2025-10-01,music
U000381,2025-10-01,none
U000382,2025-10-01,none
U000383,2025-10-01,insurance
U000384,2025-10-01,gym
U000385,2025-10-01,software
U000386,2025-10-01,cloud
U000387,2025-10-01,none
U000388,2025-10-01,gym
U000389,2025-10-01,music
U000390,2025-10-01,none
U000391,2025-10-01,none
U000392,2025-10-01,streaming
U000393,2025-10-01,music
U000394,2025-10-01,music
U000395,2025-10-01,cloud
U000396,2025-10-01,none
U000397,2025-10-01,insurance
U000398,2025-10-01,none
U000399,2025-10-01,mobile
U000400,2025-10-01,insurance
U000401,2025-10-01,cloud
U000402,2025-10-01,insurance
U000403,2025-10-01,music
U000404,2025-10-01,insurance
U000405,2025-10-01,insurance
U000406,2025-10-01,none
U000407,2025-10-01,cloud
U000408,2025-10-01,software
U000409,2025-10-01,insurance
U000410,2025-10-01,software
U000411,2025-10-01,gym
U000412,2025-10-01,cloud
U000413,2025-10-01,none
U000414,2025-10-01,none
U000415,2025-10-01,gym
U000416,2025-10-01,none
U000417,2025-10-01,none
U000418,2025-10-01,none
U000419,2025-10-01,none
U000420,2025-10-01,none
U000421,2025-10-01,none
U000422,2025-10-01,mobile
U000423,2025-10-01,music
U000424,2025-10-01,software
